|             Name|  SpT|  Dist|     Mstar|    e_Mstar|  Flux|ObsWave| Det|    MDust|e_MDust|
|             char| char|double|     float|      float| float| double|long|   double| double|
|                 |     |      |          |           |   mJy|       |    |         |       |
|             null| null|  null|      null|       null|  null|   null|null|     null|   null|
 J16102819-1910444    M4  145.0 0.18197007 0.056603592   0.05   880.0    0   0.01067 0.03415 
 J16102857-1904469    M3  145.0 0.32359365 0.055920567   0.66   880.0    1   0.14089 0.03415 
 J16104636-1840598  M4.5  145.0   0.162181  0.05044801   1.78   880.0    1   0.37997 0.03415 
 J16111330-2019029    M3  145.0  0.3019952 0.059146527   4.88   880.0    1   1.04172 0.03415 
 J16111534-1757214    M1  145.0 0.46773514  0.09699577   0.18   880.0    0   0.03842 0.03415 
 J16113134-1838259    K5  145.0  1.1220185  0.24560313 903.56   880.0    1 192.88014 0.18145 
 J16115091-2012098  M3.5  145.0 0.25118864  0.06366532   0.66   880.0    1   0.14089 0.03415 
 J16122737-2009596  M4.5  145.0  0.1659587 0.051623095   0.53   880.0    1   0.11314 0.03415 
 J16123916-1859284  M0.5  145.0  0.5128614  0.08271958   6.01   880.0    1   1.28294 0.06191 
 J16130996-1904269    M4  145.0  0.2137962  0.05911416  -0.05   880.0    0  -0.01067 0.03415 
 J16133650-2503473  M3.5  145.0  0.2570396  0.06218701   0.88   880.0    1   0.18785 0.04056 
 J16135434-2320342  M4.5  145.0 0.19054607  0.05488078   7.53   880.0    1   1.60741 0.02775 
 J16141107-2305362    K2  145.0  1.6982436  0.19565019   4.77   880.0    1   1.01824 0.02989 
 J16142029-1906481    M0  145.0 0.56234133 0.058307283  40.69   880.0    1   8.68597 0.04696 
 J16143367-1900133    M3  145.0 0.31622776 0.054647658   1.24   880.0    1    0.2647 0.03415 
 J16145928-2459308 M4.25  145.0 0.21877615  0.05797064  -0.03   880.0    0   -0.0064 0.02562 
 J16151239-2420091    M4  145.0 0.18197007 0.054507166   0.22   880.0    0   0.04696 0.02562 
 J16153456-2242421    M0  145.0 0.56234133 0.051828694  11.75   880.0    1   2.50824 0.02562 
 J16154416-1921171    K5  145.0  0.9772372  0.10132645  23.57   880.0    1   5.03141 0.03415 
 J16163345-2521505  M0.5  145.0  0.5128614  0.09453666   2.88   880.0    1   0.61478 0.06404 
 J16181618-2619080  M4.5  145.0 0.17782794 0.053266436  -0.07   880.0    0  -0.01494 0.02562 
 J16181904-2028479 M4.75  145.0   0.162181 0.048579562   4.62   880.0    1   0.98622 0.02562 
 J16270942-2148457  M4.5  145.0   0.162181  0.05044801   2.87   880.0    1   0.61265 0.02562 
 J16303390-2428062    M4  145.0 0.21877615 0.060491104   0.60   880.0    1   0.12808 0.02562 
